1063.911044,0
1064.017265,0
1064.098281,0
1064.179297,0.003507404
1064.240509,0.014864507
1064.274716,0.030439962
1064.303521,0.04763786
1064.325125,0.071001043
1064.335928,0.087225476
1064.343129,0.106694795
1064.34853,0.127462068
1064.357532,0.142713035
1064.364733,0.164778263
1064.371935,0.189114912
1064.377336,0.214749515
1064.382737,0.235516789
1064.373735,0.252714688
1064.379136,0.271535029
1064.382737,0.291977814
1064.382737,0.311771622
1064.386338,0.327347077
1064.386338,0.342273555
1064.389938,0.358822476
1064.389938,0.378616284
1064.395339,0.392893785
1064.39894,0.411389638
1064.402541,0.429236513
1064.402541,0.450328276
1064.411542,0.476611856
1064.413343,0.498352596
1064.411542,0.520417824
1064.420544,0.540536121
1064.415143,0.560654417
1064.420544,0.581421691
1064.418744,0.602188964
1064.422345,0.625227658
1064.424145,0.646643909
1064.427746,0.668709138
1064.429546,0.694343741
1064.433147,0.712515106
1064.433147,0.738798686
1064.434947,0.761188403
1064.442148,0.781306699
1064.442148,0.804669882
1064.44935,0.825437156
1064.44935,0.847177896
1064.452951,0.865998237
1064.458352,0.885792045
1064.463753,0.90850625
1064.465553,0.926028638
1064.463753,0.945497957
1064.463753,0.964967276
1064.478156,0.981191708
1064.505161,0.956855059
1064.512362,0.935763297
1064.514163,0.916942955
1064.514163,0.89909608
1064.519564,0.877679829
1064.523164,0.857886021
1064.530366,0.83646977
1064.532166,0.815702496
1064.533966,0.798504598
1064.541168,0.775465904
1064.542968,0.750804766
1064.544769,0.721600788
1064.555571,0.684609082
1064.568173,0.640154136
1064.580776,0.606407317
1064.595178,0.582395157
1064.614982,0.561952372
1064.640187,0.542483053
1064.688797,0.548323848
1064.699599,0.531774927
1064.699599,0.507438278
1064.715802,0.482452652
1064.726604,0.453897651
1064.735606,0.418852877
1064.746408,0.393542762
1064.744608,0.365961227
1064.751809,0.333187873
1064.773413,0.295547189
1064.782415,0.269263609
1064.777014,0.238112698
1064.796818,0.205988322
1064.80762,0.177757809
1064.813021,0.146931387
1064.823823,0.11026417
1064.841827,0.079113259
1064.847228,0.058994963
1064.874233,0.035307292
1064.901238,0.014215529
1064.96245,0.00448087
1065.043466,0.001884961
1065.122682,0
1065.196496,0
1065.282913,0
