,PickedData2,
1022.58899676375,0.0139211136890951,
1022.75080906149,0.0278422273781902,
1022.91262135922,0.0522041763341068,
1023.07443365696,0.0788863109048723,
1023.23624595469,0.106728538283063,
1023.39805825243,0.129930394431554,
1023.55987055016,0.148491879350348,
1023.7216828479,0.174013921113689,
1023.88349514563,0.197215777262181,
1024.04530744337,0.22737819025522,
1024.2071197411,0.22969837587007,
1024.36893203884,0.265661252900232,
1024.53074433657,0.267981438515081,
1024.6925566343,0.279582366589327,
1024.85436893204,0.281902552204176,
1025.01618122977,0.31554524361949,
1025.17799352751,0.256380510440835,
1025.33980582524,0.322505800464037,
1025.50161812298,0.410672853828306,
1025.66343042071,0.374709976798144,
1025.82524271845,0.497679814385151,
1025.98705501618,0.464037122969838,
1026.14886731392,0.406032482598608,
1026.31067961165,0.450116009280742,
1026.47249190939,0.412993039443155,
1026.63430420712,0.436194895591647,
1026.79611650485,0.4292343387471,
1026.95792880259,0.422273781902552,
1027.11974110032,0.458236658932715,
1027.28155339806,0.411832946635731,
1027.44336569579,0.489559164733179,
1027.60517799353,0.480278422273782,
1027.76699029126,0.496519721577726,
1027.928802589,0.636890951276102,
1028.09061488673,0.549883990719257,
1028.25242718447,0.588167053364269,
1028.4142394822,0.610208816705336,
1028.57605177994,0.435034802784223,
1028.73786407767,0.419953596287703,
1028.8996763754,0.647331786542923,
1029.06148867314,0.648491879350348,
1029.22330097087,0.713457076566125,
1029.38511326861,0.878190255220417,
1029.54692556634,0.687935034802784,
1029.70873786408,0.943155452436195,
1029.87055016181,0.766821345707656,
1030.03236245955,0.581206496519721,
1030.19417475728,0.517401392111369,
1030.35598705502,0.446635730858469,
1030.51779935275,0.425754060324826,
1030.67961165049,0.34338747099768,
1030.84142394822,0.310904872389791,
1031.00323624595,0.378190255220418,
1031.16504854369,0.350348027842227,
1031.32686084142,0.438515081206496,
1031.48867313916,0.359628770301624,
1031.65048543689,0.344547563805104,
1031.81229773463,0.308584686774942,
1031.97411003236,0.322505800464037,
1032.1359223301,0.263341067285383,
1032.29773462783,0.38631090487239,
1032.45954692557,0.31554524361949,
1032.6213592233,0.393271461716937,
1032.78317152104,0.348027842227378,
1032.94498381877,0.354988399071926,
1033.10679611651,0.37122969837587,
1033.26860841424,0.37122969837587,
1033.43042071197,0.404872389791183,
1033.59223300971,0.424593967517401,
1033.75404530744,0.460556844547564,
1033.91585760518,0.397911832946636,
1034.07766990291,0.450116009280742,
1034.23948220065,0.338747099767981,
1034.40129449838,0.361948955916473,
1034.56310679612,0.320185614849188,
1034.72491909385,0.298143851508121,
1034.88673139159,0.327146171693735,
1035.04854368932,0.27030162412993,
1035.21035598706,0.276102088167053,
1035.37216828479,0.236658932714617,
1035.53398058252,0.259860788863109,
1035.69579288026,0.205336426914153,
1035.85760517799,0.247099767981438,
1036.01941747573,0.211136890951276,
1036.18122977346,0.259860788863109,
1036.50485436893,0.263341067285383,
1036.66666666667,0.249419953596288,
1036.8284789644,0.196055684454756,
1036.99029126214,0.136890951276102,
1037.15210355987,0.0765661252900232,
1037.31391585761,0.0359628770301623,
1037.47572815534,0.0139211136890951,
