Wavelength (nm),Normalized Intensity
1061.6058890147226,-0.0014144271570013522
1061.6126840317102,-0.0021216407355020284
1061.6194790486977,-0.0021216407355020284
1061.6262740656853,-0.0014144271570013522
1061.6330690826728,-0.0014144271570013522
1061.6398640996604,-0.0014144271570013522
1061.6466591166477,-0.0021216407355020284
1061.6534541336353,-0.0021216407355020284
1061.6602491506228,-0.0021216407355020284
1061.6670441676104,-0.0021216407355020284
1061.673839184598,-0.0014144271570013522
1061.6806342015855,-0.0007072135785006761
1061.687429218573,-0.0007072135785006761
1061.6942242355606,-0.0007072135785006761
1061.7010192525481,-0.0014144271570013522
1061.7078142695357,-0.0014144271570013522
1061.7146092865232,-0.0014144271570013522
1061.7214043035108,-0.0007072135785006761
1061.7281993204983,-0.0007072135785006761
1061.734994337486,-0.0007072135785006761
1061.7417893544734,-0.0007072135785006761
1061.748584371461,-0.0007072135785006761
1061.7553793884485,-0.0007072135785006761
1061.762174405436,-0.0014144271570013522
1061.7689694224237,-0.0014144271570013522
1061.7757644394112,-0.0007072135785006761
1061.7825594563988,-0.0007072135785006761
1061.789354473386,0.0007072135785006761
1061.7961494903736,0.0007072135785006761
1061.8029445073612,0.0007072135785006761
1061.8097395243487,0.0007072135785006761
1061.8165345413363,-0.0007072135785006761
1061.8233295583238,0.0
1061.8301245753114,0.0007072135785006761
1061.836919592299,0.0007072135785006761
1061.8437146092865,0.0007072135785006761
1061.850509626274,0.0
1061.8573046432616,0.0007072135785006761
1061.8640996602492,0.0007072135785006761
1061.8708946772367,0.0014144271570015743
1061.8776896942243,0.0021216407355022504
1061.8844847112118,0.0021216407355022504
1061.8912797281994,0.0014144271570015743
1061.898074745187,0.0014144271570015743
1061.9048697621745,0.0014144271570015743
1061.911664779162,0.0014144271570015743
1061.9184597961496,0.0014144271570015743
1061.9252548131371,0.0021216407355022504
1061.9320498301247,0.0021216407355022504
1061.938844847112,0.0021216407355022504
1061.9456398640996,0.0021216407355022504
1061.9524348810871,0.0028288543140029265
1061.9592298980747,0.0035360678925036026
1061.9660249150622,0.0035360678925036026
1061.9728199320498,0.0035360678925036026
1061.9796149490373,0.0035360678925036026
1061.986409966025,0.0035360678925036026
1061.9932049830124,0.0035360678925036026
1062.0,0.0035360678925036026
1062.0067950169876,0.004950495049504955
1062.013590033975,0.004950495049504955
1062.0203850509627,0.004950495049504955
1062.0271800679502,0.004950495049504955
1062.0339750849378,0.006364922206506529
1062.0407701019253,0.006364922206506529
1062.0475651189129,0.007779349363507881
1062.0543601359004,0.007779349363507881
1062.061155152888,0.009193776520509234
1062.0679501698755,0.009193776520509234
1062.074745186863,0.009193776520509234
1062.0815402038504,0.009193776520509234
1062.088335220838,0.010608203677510586
1062.0951302378255,0.01202263083451216
1062.101925254813,0.01202263083451216
1062.1087202718006,0.012729844413012836
1062.1155152887882,0.013437057991513512
1062.1223103057757,0.013437057991513512
1062.1291053227633,0.014851485148514865
1062.1359003397508,0.014851485148514865
1062.1426953567384,0.01626591230551644
1062.149490373726,0.01626591230551644
1062.1562853907135,0.01768033946251779
1062.163080407701,0.01768033946251779
1062.1698754246886,0.019094766619519143
1062.1766704416762,0.019094766619519143
1062.1834654586637,0.020509193776520496
1062.1902604756513,0.020509193776520496
1062.1970554926388,0.02192362093352207
1062.2038505096264,0.0240452616690241
1062.210645526614,0.024752475247524774
1062.2174405436015,0.026874115983027025
1062.224235560589,0.0275813295615277
1062.2310305775763,0.028995756718529053
1062.237825594564,0.028995756718529053
1062.2446206115515,0.030410183875530405
1062.251415628539,0.03182461103253198
1062.2582106455266,0.032531824611032656
1062.265005662514,0.03394625176803401
1062.2718006795017,0.036067892503536036
1062.2785956964892,0.03748231966053761
1062.2853907134768,0.03960396039603964
1062.2921857304643,0.04172560113154189
1062.2989807474519,0.04314002828854324
1062.3057757644394,0.04526166902404527
1062.312570781427,0.04738330975954752
1062.3193657984145,0.04879773691654887
1062.326160815402,0.050212164073550225
1062.3329558323896,0.052333804809052475
1062.3397508493772,0.054455445544554504
1062.3465458663647,0.056577086280056754
1062.3533408833523,0.05869872701555878
1062.3601359003399,0.060113154172560135
1062.3669309173274,0.062234794908062385
1062.3737259343147,0.06577086280056577
1062.3805209513023,0.06718528995756734
1062.3873159682898,0.07072135785007072
1062.3941109852774,0.07567185289957568
1062.400906002265,0.07991513437057995
1062.4077010192525,0.08486562942008491
1062.41449603624,0.08910891089108919
1062.4212910532276,0.09335219236209347
1062.4280860702152,0.10042432814710045
1062.4348810872027,0.1053748231966054
1062.4416761041903,0.11244695898161261
1062.4484711211778,0.11739745403111757
1062.4552661381654,0.12234794908062252
1062.462061155153,0.12800565770862815
1062.4688561721405,0.1329561527581331
1062.475651189128,0.1400282885431401
1062.4824462061156,0.14427157001414437
1062.4892412231031,0.14922206506364932
1062.4960362400907,0.1562942008486563
1062.5028312570782,0.16195190947666194
1062.5096262740658,0.16973125884016982
1062.5164212910533,0.17609618104667613
1062.5232163080407,0.18246110325318243
1062.5300113250282,0.19024045261669031
1062.5368063420158,0.1980198019801982
1062.5436013590033,0.20650636492220653
1062.5503963759909,0.21287128712871295
