Wavelength (nm),Normalized Intensity
1061.5787089467724,-0.0007072135785006761
1061.58550396376,-0.0007072135785006761
1061.5922989807475,-0.0007072135785006761
1061.599093997735,-0.0007072135785006761
1061.6058890147226,-0.0007072135785006761
1061.6126840317102,-0.0007072135785006761
1061.6194790486977,-0.0007072135785006761
1061.6262740656853,-0.0007072135785006761
1061.6330690826728,-0.0007072135785006761
1061.6398640996604,-0.0007072135785006761
1061.6466591166477,-0.0007072135785006761
1061.6534541336353,-0.0005657708628004077
1061.6602491506228,-0.00028288543140031486
1061.6670441676104,0.0
1061.673839184598,0.00028288543140031486
1061.6806342015855,0.0005657708628006297
1061.687429218573,0.0007072135785006761
1061.6942242355606,0.0007072135785006761
1061.7010192525481,0.0007072135785006761
1061.7078142695357,0.0007072135785006761
1061.7146092865232,0.0007072135785006761
1061.7214043035108,0.0007072135785006761
1061.7281993204983,0.0007072135785006761
1061.734994337486,0.0007072135785006761
1061.7417893544734,0.0007072135785006761
1061.748584371461,0.0007072135785006761
1061.7553793884485,0.0007072135785006761
1061.762174405436,0.0007072135785006761
1061.7689694224237,0.000990099009901213
1061.7757644394112,0.0012729844413013058
1061.7825594563988,0.0015558698727016207
1061.789354473386,0.0018387553041019356
1061.7961494903736,0.0018387553041019356
1061.8029445073612,0.0016973125884018891
1061.8097395243487,0.0016973125884018891
1061.8165345413363,0.0016973125884018891
1061.8233295583238,0.0016973125884018891
1061.8301245753114,0.001980198019801982
1061.836919592299,0.0021216407355022504
1061.8437146092865,0.0021216407355022504
1061.850509626274,0.002263083451202297
1061.8573046432616,0.0025459688826026117
1061.8640996602492,0.0028288543140029265
1061.8708946772367,0.0031117397454032414
1061.8776896942243,0.003394625176803334
1061.8844847112118,0.0035360678925036026
1061.8912797281994,0.0035360678925036026
1061.898074745187,0.0035360678925036026
1061.9048697621745,0.0035360678925036026
1061.911664779162,0.0035360678925036026
1061.9184597961496,0.0035360678925036026
1061.9252548131371,0.0035360678925036026
1061.9320498301247,0.003677510608203871
1061.938844847112,0.003960396039603964
1061.9456398640996,0.004243281471004279
1061.9524348810871,0.004526166902404594
1061.9592298980747,0.0048090523338049085
1061.9660249150622,0.004950495049504955
1061.9728199320498,0.004950495049504955
1061.9796149490373,0.004950495049504955
1061.986409966025,0.00523338048090527
1061.9932049830124,0.005516265912305585
1062.0,0.0057991513437058995
1062.0067950169876,0.006082036775105992
1062.013590033975,0.006647807637906844
1062.0203850509627,0.006930693069306937
1062.0271800679502,0.0074964639321075666
1062.0339750849378,0.008062234794908196
1062.0407701019253,0.008910891089108919
1062.0475651189129,0.009476661951909549
1062.0543601359004,0.010042432814710178
1062.061155152888,0.010325318246110271
1062.0679501698755,0.010891089108911123
1062.074745186863,0.01145685997171153
